nodes,techs,costs,timesteps,cost_operation_variable
region1_1,csp,monetary,2005-01-02 16:00:00,18.0
region1_1,csp,monetary,2005-01-02 17:00:00,18.0
region1_1,csp,monetary,2005-01-02 18:00:00,18.0
region1_1,csp,monetary,2005-01-02 19:00:00,18.0
region1_1,csp,monetary,2005-01-02 20:00:00,10.582047000000001
region1_1,csp,monetary,2005-01-02 21:00:00,5.879584
region1_1,csp,monetary,2005-01-02 22:00:00,1.78696
region1_1,csp,monetary,2005-01-02 23:00:00,0.0
region1_1,csp,monetary,2005-01-03 00:00:00,0.0
region1_1,csp,monetary,2005-01-03 01:00:00,0.0
region1_1,csp,monetary,2005-01-03 02:00:00,0.0
region1_1,csp,monetary,2005-01-03 03:00:00,0.0
region1_1,csp,monetary,2005-01-03 04:00:00,3.2144828000000003
region1_1,csp,monetary,2005-01-03 05:00:00,8.9419708
region1_1,csp,monetary,2005-01-03 06:00:00,12.858911
region1_1,csp,monetary,2005-01-03 07:00:00,14.982816999999999
region1_1,csp,monetary,2005-01-03 08:00:00,16.282944
region1_1,csp,monetary,2005-01-03 09:00:00,16.872192
region1_1,csp,monetary,2005-01-03 10:00:00,16.345423
region1_1,csp,monetary,2005-01-03 11:00:00,15.731151
region1_1,csp,monetary,2005-01-03 12:00:00,15.430594800000001
region1_1,csp,monetary,2005-01-03 13:00:00,16.0185138
region1_1,csp,monetary,2005-01-03 14:00:00,17.852641
region1_1,csp,monetary,2005-01-03 15:00:00,18.0
region1_1,csp,monetary,2005-01-03 16:00:00,18.0
region1_1,csp,monetary,2005-01-03 17:00:00,18.0
region1_1,csp,monetary,2005-01-03 18:00:00,18.0
region1_1,csp,monetary,2005-01-03 19:00:00,16.1664818
region1_1,csp,monetary,2005-01-03 20:00:00,12.628337799999999
region1_1,csp,monetary,2005-01-03 21:00:00,8.1307378
region1_1,csp,monetary,2005-01-03 22:00:00,4.4041778
region1_1,csp,monetary,2005-01-03 23:00:00,1.9838258800000002
region1_1,csp,monetary,2005-01-04 00:00:00,0.5307698799999999
region1_1,csp,monetary,2005-01-04 01:00:00,0.0
region1_1,csp,monetary,2005-01-04 02:00:00,0.190801882
region1_1,csp,monetary,2005-01-04 03:00:00,1.28654588
region1_1,csp,monetary,2005-01-04 04:00:00,5.1596238
region1_1,csp,monetary,2005-01-04 05:00:00,10.1778748
region1_1,csp,monetary,2005-01-04 06:00:00,14.154527
region1_1,csp,monetary,2005-01-04 07:00:00,16.221153
region1_1,csp,monetary,2005-01-04 08:00:00,17.453056
region1_1,csp,monetary,2005-01-04 09:00:00,18.0
region1_1,csp,monetary,2005-01-04 10:00:00,17.7090258
region1_1,csp,monetary,2005-01-04 11:00:00,17.071631
region1_1,csp,monetary,2005-01-04 12:00:00,16.809282800000002
region1_1,csp,monetary,2005-01-04 13:00:00,17.1756018
region1_1,csp,monetary,2005-01-04 14:00:00,18.0
region1_1,csp,monetary,2005-01-04 15:00:00,18.0
region1_1,csp,monetary,2005-01-04 16:00:00,18.0
region1_1,csp,monetary,2005-01-04 17:00:00,18.0
region1_1,csp,monetary,2005-01-04 18:00:00,18.0
region1_1,csp,monetary,2005-01-04 19:00:00,17.1892018
region1_1,csp,monetary,2005-01-04 20:00:00,13.7501618
region1_1,csp,monetary,2005-01-04 21:00:00,9.071825800000001
region1_1,csp,monetary,2005-01-04 22:00:00,5.1882098
region1_1,csp,monetary,2005-01-04 23:00:00,2.6292338
region1_1,csp,monetary,2005-01-05 00:00:00,1.2084018799999998
region1_1,csp,monetary,2005-01-05 01:00:00,0.67236988
region1_1,csp,monetary,2005-01-05 02:00:00,0.91252988
region1_1,csp,monetary,2005-01-05 03:00:00,2.0875698000000003
region1_1,csp,monetary,2005-01-05 04:00:00,6.6110898
region1_1,csp,monetary,2005-01-05 05:00:00,12.421127
region1_1,csp,monetary,2005-01-05 06:00:00,15.250847
region1_1,csp,monetary,2005-01-05 07:00:00,17.318465
region1_1,csp,monetary,2005-01-05 08:00:00,18.0
region1_1,csp,monetary,2005-01-05 09:00:00,18.0
region1_1,csp,monetary,2005-01-05 10:00:00,18.0
region1_1,csp,monetary,2005-01-05 11:00:00,18.0
region1_1,csp,monetary,2005-01-05 12:00:00,18.0
region1_1,csp,monetary,2005-01-05 13:00:00,18.0
region1_1,csp,monetary,2005-01-05 14:00:00,18.0
region1_1,csp,monetary,2005-01-05 15:00:00,18.0
region1_1,csp,monetary,2005-01-05 16:00:00,18.0
region1_1,csp,monetary,2005-01-05 17:00:00,18.0
region1_1,csp,monetary,2005-01-05 18:00:00,18.0
region1_1,csp,monetary,2005-01-05 19:00:00,18.0
region1_1,csp,monetary,2005-01-05 20:00:00,18.0
region1_1,csp,monetary,2005-01-05 21:00:00,18.0
region1_1,csp,monetary,2005-01-05 22:00:00,18.0
region1_1,csp,monetary,2005-01-05 23:00:00,15.9969868
region1_2,csp,monetary,2005-01-01 00:00:00,0.0
region1_2,csp,monetary,2005-01-01 01:00:00,0.0
region1_2,csp,monetary,2005-01-01 02:00:00,0.0
region1_2,csp,monetary,2005-01-01 03:00:00,0.0
region1_2,csp,monetary,2005-01-01 04:00:00,0.0
region1_2,csp,monetary,2005-01-01 05:00:00,0.0
region1_2,csp,monetary,2005-01-01 06:00:00,0.0
region1_2,csp,monetary,2005-01-01 07:00:00,0.0
region1_2,csp,monetary,2005-01-01 08:00:00,0.0
region1_2,csp,monetary,2005-01-01 09:00:00,0.0
region1_2,csp,monetary,2005-01-01 10:00:00,0.0
region1_2,csp,monetary,2005-01-01 11:00:00,0.0
region1_2,csp,monetary,2005-01-01 12:00:00,0.0
region1_2,csp,monetary,2005-01-01 13:00:00,0.0
region1_2,csp,monetary,2005-01-01 14:00:00,0.0
region1_2,csp,monetary,2005-01-01 15:00:00,0.0
region1_2,csp,monetary,2005-01-01 16:00:00,0.0
region1_2,csp,monetary,2005-01-01 17:00:00,0.0
region1_2,csp,monetary,2005-01-01 18:00:00,0.0
region1_2,csp,monetary,2005-01-01 19:00:00,0.0
region1_2,csp,monetary,2005-01-01 20:00:00,0.0
region1_2,csp,monetary,2005-01-01 21:00:00,0.0
