timesteps,nodes,techs,source_use_max
2005-01-04 09:00:00,region1_2,csp,0.196698
2005-01-04 09:00:00,region1_3,csp,0.0
2005-01-04 10:00:00,region1_1,csp,0.512304
2005-01-04 10:00:00,region1_2,csp,0.141624
2005-01-04 10:00:00,region1_3,csp,0.03146
2005-01-04 11:00:00,region1_1,csp,0.52147
2005-01-04 11:00:00,region1_2,csp,0.0
2005-01-04 11:00:00,region1_3,csp,0.16852
2005-01-04 12:00:00,region1_1,csp,0.515514
2005-01-04 12:00:00,region1_2,csp,0.0
2005-01-04 12:00:00,region1_3,csp,0.258951
2005-01-04 13:00:00,region1_1,csp,0.431111
2005-01-04 13:00:00,region1_2,csp,0.0
2005-01-04 13:00:00,region1_3,csp,0.247533
2005-01-04 14:00:00,region1_1,csp,0.292485
2005-01-04 14:00:00,region1_2,csp,0.0
2005-01-04 14:00:00,region1_3,csp,0.11934
2005-01-04 15:00:00,region1_1,csp,0.073923
2005-01-04 15:00:00,region1_2,csp,0.0
2005-01-04 15:00:00,region1_3,csp,0.0
2005-01-04 16:00:00,region1_1,csp,0.0
2005-01-04 16:00:00,region1_2,csp,0.0
2005-01-04 16:00:00,region1_3,csp,0.0
2005-01-04 17:00:00,region1_1,csp,0.0
2005-01-04 17:00:00,region1_2,csp,0.0
2005-01-04 17:00:00,region1_3,csp,0.0
2005-01-04 18:00:00,region1_1,csp,0.0
2005-01-04 18:00:00,region1_2,csp,0.0
2005-01-04 18:00:00,region1_3,csp,0.0
2005-01-04 19:00:00,region1_1,csp,0.0
2005-01-04 19:00:00,region1_2,csp,0.0
2005-01-04 19:00:00,region1_3,csp,0.0
2005-01-04 20:00:00,region1_1,csp,0.0
2005-01-04 20:00:00,region1_2,csp,0.0
2005-01-04 20:00:00,region1_3,csp,0.0
2005-01-04 21:00:00,region1_1,csp,0.0
2005-01-04 21:00:00,region1_2,csp,0.0
2005-01-04 21:00:00,region1_3,csp,0.0
2005-01-04 22:00:00,region1_1,csp,0.0
2005-01-04 22:00:00,region1_2,csp,0.0
2005-01-04 22:00:00,region1_3,csp,0.0
2005-01-04 23:00:00,region1_1,csp,0.0
2005-01-04 23:00:00,region1_2,csp,0.0
2005-01-04 23:00:00,region1_3,csp,0.0
2005-01-05 00:00:00,region1_1,csp,0.0
2005-01-05 00:00:00,region1_2,csp,0.0
2005-01-05 00:00:00,region1_3,csp,0.0
2005-01-05 01:00:00,region1_1,csp,0.0
2005-01-05 01:00:00,region1_2,csp,0.0
2005-01-05 01:00:00,region1_3,csp,0.0
2005-01-05 02:00:00,region1_1,csp,0.0
2005-01-05 02:00:00,region1_2,csp,0.0
2005-01-05 02:00:00,region1_3,csp,0.0
2005-01-05 03:00:00,region1_1,csp,0.0
2005-01-05 03:00:00,region1_2,csp,0.0
2005-01-05 03:00:00,region1_3,csp,0.0
2005-01-05 04:00:00,region1_1,csp,0.0
2005-01-05 04:00:00,region1_2,csp,0.0
2005-01-05 04:00:00,region1_3,csp,0.0
2005-01-05 05:00:00,region1_1,csp,0.0
2005-01-05 05:00:00,region1_2,csp,0.0
2005-01-05 05:00:00,region1_3,csp,0.0
2005-01-05 06:00:00,region1_1,csp,0.0
2005-01-05 06:00:00,region1_2,csp,0.0
2005-01-05 06:00:00,region1_3,csp,0.0
2005-01-05 07:00:00,region1_1,csp,0.009743
2005-01-05 07:00:00,region1_2,csp,0.018872
2005-01-05 07:00:00,region1_3,csp,0.0
2005-01-05 08:00:00,region1_1,csp,0.273005
2005-01-05 08:00:00,region1_2,csp,0.230971
2005-01-05 08:00:00,region1_3,csp,0.0
2005-01-05 09:00:00,region1_1,csp,0.400302
2005-01-05 09:00:00,region1_2,csp,0.335587
2005-01-05 09:00:00,region1_3,csp,0.0
2005-01-05 10:00:00,region1_1,csp,0.520466
2005-01-05 10:00:00,region1_2,csp,0.199944
2005-01-05 10:00:00,region1_3,csp,0.01461
2005-01-05 11:00:00,region1_1,csp,0.541957
2005-01-05 11:00:00,region1_2,csp,0.0
2005-01-05 11:00:00,region1_3,csp,0.119052
2005-01-05 12:00:00,region1_1,csp,0.511193
2005-01-05 12:00:00,region1_2,csp,0.0
2005-01-05 12:00:00,region1_3,csp,0.243513
2005-01-05 13:00:00,region1_1,csp,0.455852
2005-01-05 13:00:00,region1_2,csp,0.0
2005-01-05 13:00:00,region1_3,csp,0.250214
2005-01-05 14:00:00,region1_1,csp,0.322062
2005-01-05 14:00:00,region1_2,csp,0.0
2005-01-05 14:00:00,region1_3,csp,0.118691
2005-01-05 15:00:00,region1_1,csp,0.07927
2005-01-05 15:00:00,region1_2,csp,0.0
2005-01-05 15:00:00,region1_3,csp,0.0
2005-01-05 16:00:00,region1_1,csp,0.0
2005-01-05 16:00:00,region1_2,csp,0.0
2005-01-05 16:00:00,region1_3,csp,0.0
2005-01-05 17:00:00,region1_1,csp,0.0
2005-01-05 17:00:00,region1_2,csp,0.0
2005-01-05 17:00:00,region1_3,csp,0.0
2005-01-05 18:00:00,region1_1,csp,0.0
2005-01-05 18:00:00,region1_2,csp,0.0
2005-01-05 18:00:00,region1_3,csp,0.0
2005-01-05 19:00:00,region1_1,csp,0.0
2005-01-05 19:00:00,region1_2,csp,0.0
2005-01-05 19:00:00,region1_3,csp,0.0
2005-01-05 20:00:00,region1_1,csp,0.0
2005-01-05 20:00:00,region1_2,csp,0.0
2005-01-05 20:00:00,region1_3,csp,0.0
2005-01-05 21:00:00,region1_1,csp,0.0
2005-01-05 21:00:00,region1_2,csp,0.0
2005-01-05 21:00:00,region1_3,csp,0.0
2005-01-05 22:00:00,region1_1,csp,0.0
2005-01-05 22:00:00,region1_2,csp,0.0
2005-01-05 22:00:00,region1_3,csp,0.0
2005-01-05 23:00:00,region1_1,csp,0.0
2005-01-05 23:00:00,region1_2,csp,0.0
2005-01-05 23:00:00,region1_3,csp,0.0
