nodes,techs,timesteps,storage
region1_3,csp,2005-01-04 18:00:00,8307.1817
region1_3,csp,2005-01-04 19:00:00,8290.5673
region1_3,csp,2005-01-04 20:00:00,8273.9862
region1_3,csp,2005-01-04 21:00:00,8257.4382
region1_3,csp,2005-01-04 22:00:00,8240.9233
region1_3,csp,2005-01-04 23:00:00,8224.4415
region1_3,csp,2005-01-05 00:00:00,8207.9926
region1_3,csp,2005-01-05 01:00:00,8191.5766
region1_3,csp,2005-01-05 02:00:00,8175.1934
region1_3,csp,2005-01-05 03:00:00,8158.8431
region1_3,csp,2005-01-05 04:00:00,8142.5254
region1_3,csp,2005-01-05 05:00:00,8126.2403
region1_3,csp,2005-01-05 06:00:00,8109.9878
region1_3,csp,2005-01-05 07:00:00,8093.7679
region1_3,csp,2005-01-05 08:00:00,8077.5803
region1_3,csp,2005-01-05 09:00:00,8061.4252
region1_3,csp,2005-01-05 10:00:00,8169.2837
region1_3,csp,2005-01-05 11:00:00,9163.2276
region1_3,csp,2005-01-05 12:00:00,11211.367
region1_3,csp,2005-01-05 13:00:00,13312.276
region1_3,csp,2005-01-05 14:00:00,14292.87
region1_3,csp,2005-01-05 15:00:00,11709.814
region1_3,csp,2005-01-05 16:00:00,5351.9891
region1_3,csp,2005-01-05 17:00:00,258.90343
region1_3,csp,2005-01-05 18:00:00,0.0
region1_3,csp,2005-01-05 19:00:00,0.0
region1_3,csp,2005-01-05 20:00:00,0.0
region1_3,csp,2005-01-05 21:00:00,0.0
region1_3,csp,2005-01-05 22:00:00,0.0
region1_3,csp,2005-01-05 23:00:00,0.0
region2,battery,2005-01-01 00:00:00,0.0
region2,battery,2005-01-01 01:00:00,0.0
region2,battery,2005-01-01 02:00:00,0.0
region2,battery,2005-01-01 03:00:00,0.0
region2,battery,2005-01-01 04:00:00,0.0
region2,battery,2005-01-01 05:00:00,0.0
region2,battery,2005-01-01 06:00:00,0.0
region2,battery,2005-01-01 07:00:00,0.0
region2,battery,2005-01-01 08:00:00,0.0
region2,battery,2005-01-01 09:00:00,0.0
region2,battery,2005-01-01 10:00:00,0.0
region2,battery,2005-01-01 11:00:00,0.0
region2,battery,2005-01-01 12:00:00,0.0
region2,battery,2005-01-01 13:00:00,0.0
region2,battery,2005-01-01 14:00:00,72.582511
region2,battery,2005-01-01 15:00:00,345.12421
region2,battery,2005-01-01 16:00:00,172.56211
region2,battery,2005-01-01 17:00:00,43.141053
region2,battery,2005-01-01 18:00:00,0.0
region2,battery,2005-01-01 19:00:00,0.0
region2,battery,2005-01-01 20:00:00,0.0
region2,battery,2005-01-01 21:00:00,0.0
region2,battery,2005-01-01 22:00:00,0.0
region2,battery,2005-01-01 23:00:00,0.0
region2,battery,2005-01-02 00:00:00,100.76003
region2,battery,2005-01-02 01:00:00,684.77633
region2,battery,2005-01-02 02:00:00,1307.7274
region2,battery,2005-01-02 03:00:00,1891.7437
region2,battery,2005-01-02 04:00:00,2385.7711
region2,battery,2005-01-02 05:00:00,2385.7711
region2,battery,2005-01-02 06:00:00,2385.7711
region2,battery,2005-01-02 07:00:00,2385.7711
region2,battery,2005-01-02 08:00:00,2658.3128
region2,battery,2005-01-02 09:00:00,2930.8545
region2,battery,2005-01-02 10:00:00,3242.331
region2,battery,2005-01-02 11:00:00,3553.8075
region2,battery,2005-01-02 12:00:00,3904.2169
region2,battery,2005-01-02 13:00:00,4293.5611
region2,battery,2005-01-02 14:00:00,4721.8401
region2,battery,2005-01-02 15:00:00,4994.3818
region2,battery,2005-01-02 16:00:00,3941.7502
region2,battery,2005-01-02 17:00:00,2889.1186
region2,battery,2005-01-02 18:00:00,2845.9776
region2,battery,2005-01-02 19:00:00,2845.9776
region2,battery,2005-01-02 20:00:00,2845.9776
region2,battery,2005-01-02 21:00:00,2845.9776
region2,battery,2005-01-02 22:00:00,2845.9776
region2,battery,2005-01-02 23:00:00,3018.2266
region2,battery,2005-01-03 00:00:00,3485.4404
region2,battery,2005-01-03 01:00:00,4069.4567
region2,battery,2005-01-03 02:00:00,4692.4078
