nodes,techs,carriers,timesteps,flow_in
X1,X1_to_X2,electricity,2005-07-01 10:00:00,185.50436
X1,X1_to_X2,electricity,2005-07-01 11:00:00,185.78753
X1,X1_to_X2,electricity,2005-07-01 12:00:00,174.01713
X1,X1_to_X2,electricity,2005-07-01 13:00:00,172.78572
X1,X1_to_X2,electricity,2005-07-01 14:00:00,183.89642
X1,X1_to_X2,electricity,2005-07-01 15:00:00,211.05956
X1,X1_to_X2,electricity,2005-07-01 16:00:00,182.24815
X1,X1_to_X2,electricity,2005-07-01 17:00:00,254.70018
X1,X1_to_X2,electricity,2005-07-01 18:00:00,250.37304
X1,X1_to_X2,electricity,2005-07-01 19:00:00,265.56289
X1,X1_to_X2,electricity,2005-07-01 20:00:00,259.80163
X1,X1_to_X2,electricity,2005-07-01 21:00:00,209.64236
X1,X1_to_X2,electricity,2005-07-01 22:00:00,137.99242
X1,X1_to_X2,electricity,2005-07-01 23:00:00,96.672424
X1,X1_to_X2,electricity,2005-07-02 00:00:00,104.67603
X1,X1_to_X2,electricity,2005-07-02 01:00:00,87.651845
X1,X1_to_X2,electricity,2005-07-02 02:00:00,86.074914
X1,X1_to_X2,electricity,2005-07-02 03:00:00,88.440311
X1,X1_to_X2,electricity,2005-07-02 04:00:00,92.752029
X1,X1_to_X2,electricity,2005-07-02 05:00:00,150.77631
X1,X1_to_X2,electricity,2005-07-02 06:00:00,203.16273
X1,X1_to_X2,electricity,2005-07-02 07:00:00,243.65052
X1,X1_to_X2,electricity,2005-07-02 08:00:00,239.91824
X1,X1_to_X2,electricity,2005-07-02 09:00:00,236.37599
X1,X1_to_X2,electricity,2005-07-02 10:00:00,227.58436
X1,X1_to_X2,electricity,2005-07-02 11:00:00,189.07441
X1,X1_to_X2,electricity,2005-07-02 12:00:00,170.74096
X1,X1_to_X2,electricity,2005-07-02 13:00:00,164.03689
X1,X1_to_X2,electricity,2005-07-02 14:00:00,181.73594
X1,X1_to_X2,electricity,2005-07-02 15:00:00,210.02694
X1,X1_to_X2,electricity,2005-07-02 16:00:00,181.81041
