nodes,techs,carriers,timesteps,flow_out_inc_eff
X1,X1_to_N1,heat,2005-07-01 20:00:00,163.40471282388444
X1,X1_to_N1,heat,2005-07-01 21:00:00,0.0
X1,X1_to_N1,heat,2005-07-01 22:00:00,0.0
X1,X1_to_N1,heat,2005-07-01 23:00:00,0.0
X1,X1_to_N1,heat,2005-07-02 00:00:00,0.0
X1,X1_to_N1,heat,2005-07-02 01:00:00,0.0
X1,X1_to_N1,heat,2005-07-02 02:00:00,0.0
X1,X1_to_N1,heat,2005-07-02 03:00:00,0.0
X1,X1_to_N1,heat,2005-07-02 04:00:00,0.0
X1,X1_to_N1,heat,2005-07-02 05:00:00,0.0
X1,X1_to_N1,heat,2005-07-02 06:00:00,0.0
X1,X1_to_N1,heat,2005-07-02 07:00:00,0.0
X1,X1_to_N1,heat,2005-07-02 08:00:00,0.0
X1,X1_to_N1,heat,2005-07-02 09:00:00,0.0
X1,X1_to_N1,heat,2005-07-02 10:00:00,0.0
X1,X1_to_N1,heat,2005-07-02 11:00:00,0.0
X1,X1_to_N1,heat,2005-07-02 12:00:00,0.0
X1,X1_to_N1,heat,2005-07-02 13:00:00,0.0
X1,X1_to_N1,heat,2005-07-02 14:00:00,0.0
X1,X1_to_N1,heat,2005-07-02 15:00:00,279.01400900217465
X1,X1_to_N1,heat,2005-07-02 16:00:00,0.0
X1,X1_to_N1,heat,2005-07-02 17:00:00,267.78870311367353
X1,X1_to_N1,heat,2005-07-02 18:00:00,0.0
X1,X1_to_N1,heat,2005-07-02 19:00:00,0.0
X1,X1_to_N1,heat,2005-07-02 20:00:00,0.0
X1,X1_to_N1,heat,2005-07-02 21:00:00,0.0
X1,X1_to_N1,heat,2005-07-02 22:00:00,0.0
X1,X1_to_N1,heat,2005-07-02 23:00:00,0.0
X1,X1_to_X2,electricity,2005-07-01 00:00:00,0.0
X1,X1_to_X2,electricity,2005-07-01 01:00:00,0.0
X1,X1_to_X2,electricity,2005-07-01 02:00:00,0.0
X1,X1_to_X2,electricity,2005-07-01 03:00:00,0.0
X1,X1_to_X2,electricity,2005-07-01 04:00:00,0.0
X1,X1_to_X2,electricity,2005-07-01 05:00:00,0.0
X1,X1_to_X2,electricity,2005-07-01 06:00:00,0.0
X1,X1_to_X2,electricity,2005-07-01 07:00:00,0.0
X1,X1_to_X2,electricity,2005-07-01 08:00:00,0.0
X1,X1_to_X2,electricity,2005-07-01 09:00:00,0.0
X1,X1_to_X2,electricity,2005-07-01 10:00:00,0.0
X1,X1_to_X2,electricity,2005-07-01 11:00:00,0.0
X1,X1_to_X2,electricity,2005-07-01 12:00:00,0.0
X1,X1_to_X2,electricity,2005-07-01 13:00:00,0.0
X1,X1_to_X2,electricity,2005-07-01 14:00:00,0.0
X1,X1_to_X2,electricity,2005-07-01 15:00:00,0.0
X1,X1_to_X2,electricity,2005-07-01 16:00:00,0.0
X1,X1_to_X2,electricity,2005-07-01 17:00:00,0.0
X1,X1_to_X2,electricity,2005-07-01 18:00:00,0.0
X1,X1_to_X2,electricity,2005-07-01 19:00:00,0.0
X1,X1_to_X2,electricity,2005-07-01 20:00:00,0.0
X1,X1_to_X2,electricity,2005-07-01 21:00:00,0.0
X1,X1_to_X2,electricity,2005-07-01 22:00:00,0.0
X1,X1_to_X2,electricity,2005-07-01 23:00:00,0.0
X1,X1_to_X2,electricity,2005-07-02 00:00:00,0.0
X1,X1_to_X2,electricity,2005-07-02 01:00:00,0.0
X1,X1_to_X2,electricity,2005-07-02 02:00:00,0.0
X1,X1_to_X2,electricity,2005-07-02 03:00:00,0.0
X1,X1_to_X2,electricity,2005-07-02 04:00:00,0.0
X1,X1_to_X2,electricity,2005-07-02 05:00:00,0.0
X1,X1_to_X2,electricity,2005-07-02 06:00:00,0.0
X1,X1_to_X2,electricity,2005-07-02 07:00:00,0.0
X1,X1_to_X2,electricity,2005-07-02 08:00:00,0.0
X1,X1_to_X2,electricity,2005-07-02 09:00:00,0.0
X1,X1_to_X2,electricity,2005-07-02 10:00:00,0.0
X1,X1_to_X2,electricity,2005-07-02 11:00:00,0.0
X1,X1_to_X2,electricity,2005-07-02 12:00:00,0.0
X1,X1_to_X2,electricity,2005-07-02 13:00:00,0.0
X1,X1_to_X2,electricity,2005-07-02 14:00:00,0.0
X1,X1_to_X2,electricity,2005-07-02 15:00:00,0.0
X1,X1_to_X2,electricity,2005-07-02 16:00:00,0.0
X1,X1_to_X2,electricity,2005-07-02 17:00:00,0.0
X1,X1_to_X2,electricity,2005-07-02 18:00:00,0.0
X1,X1_to_X2,electricity,2005-07-02 19:00:00,0.0
X1,X1_to_X2,electricity,2005-07-02 20:00:00,0.0
X1,X1_to_X2,electricity,2005-07-02 21:00:00,0.0
X1,X1_to_X2,electricity,2005-07-02 22:00:00,0.0
X1,X1_to_X2,electricity,2005-07-02 23:00:00,0.0
X1,X1_to_X3,electricity,2005-07-01 00:00:00,0.0
X1,X1_to_X3,electricity,2005-07-01 01:00:00,0.0
X1,X1_to_X3,electricity,2005-07-01 02:00:00,0.0
X1,X1_to_X3,electricity,2005-07-01 03:00:00,0.0
X1,X1_to_X3,electricity,2005-07-01 04:00:00,0.0
X1,X1_to_X3,electricity,2005-07-01 05:00:00,0.0
X1,X1_to_X3,electricity,2005-07-01 06:00:00,0.0
X1,X1_to_X3,electricity,2005-07-01 07:00:00,0.0
X1,X1_to_X3,electricity,2005-07-01 08:00:00,0.0
X1,X1_to_X3,electricity,2005-07-01 09:00:00,0.0
X1,X1_to_X3,electricity,2005-07-01 10:00:00,0.0
X1,X1_to_X3,electricity,2005-07-01 11:00:00,0.0
X1,X1_to_X3,electricity,2005-07-01 12:00:00,0.0
X1,X1_to_X3,electricity,2005-07-01 13:00:00,0.0
X1,X1_to_X3,electricity,2005-07-01 14:00:00,0.0
X1,X1_to_X3,electricity,2005-07-01 15:00:00,0.0
X1,X1_to_X3,electricity,2005-07-01 16:00:00,0.0
X1,X1_to_X3,electricity,2005-07-01 17:00:00,0.0
X1,X1_to_X3,electricity,2005-07-01 18:00:00,0.0
X1,X1_to_X3,electricity,2005-07-01 19:00:00,0.0
X1,X1_to_X3,electricity,2005-07-01 20:00:00,0.0
X1,X1_to_X3,electricity,2005-07-01 21:00:00,0.0
X1,X1_to_X3,electricity,2005-07-01 22:00:00,0.0
X1,X1_to_X3,electricity,2005-07-01 23:00:00,0.0
X1,X1_to_X3,electricity,2005-07-02 00:00:00,0.0
X1,X1_to_X3,electricity,2005-07-02 01:00:00,0.0
X1,X1_to_X3,electricity,2005-07-02 02:00:00,0.0
X1,X1_to_X3,electricity,2005-07-02 03:00:00,0.0
X1,X1_to_X3,electricity,2005-07-02 04:00:00,0.0
X1,X1_to_X3,electricity,2005-07-02 05:00:00,0.0
X1,X1_to_X3,electricity,2005-07-02 06:00:00,0.0
X1,X1_to_X3,electricity,2005-07-02 07:00:00,0.0
X1,X1_to_X3,electricity,2005-07-02 08:00:00,1.5095878571428571
X1,X1_to_X3,electricity,2005-07-02 09:00:00,8.054587857142858
X1,X1_to_X3,electricity,2005-07-02 10:00:00,13.23958775510204
X1,X1_to_X3,electricity,2005-07-02 11:00:00,14.344587755102042
X1,X1_to_X3,electricity,2005-07-02 12:00:00,11.837087755102042
X1,X1_to_X3,electricity,2005-07-02 13:00:00,5.547087959183673
X1,X1_to_X3,electricity,2005-07-02 14:00:00,0.0
X1,X1_to_X3,electricity,2005-07-02 15:00:00,0.0
X1,X1_to_X3,electricity,2005-07-02 16:00:00,0.0
X1,X1_to_X3,electricity,2005-07-02 17:00:00,0.0
X1,X1_to_X3,electricity,2005-07-02 18:00:00,0.0
X1,X1_to_X3,electricity,2005-07-02 19:00:00,0.0
X1,X1_to_X3,electricity,2005-07-02 20:00:00,0.0
X1,X1_to_X3,electricity,2005-07-02 21:00:00,0.0
X1,X1_to_X3,electricity,2005-07-02 22:00:00,0.0
X1,X1_to_X3,electricity,2005-07-02 23:00:00,0.0
X1,chp,electricity,2005-07-01 00:00:00,286.6091358024691
X1,chp,electricity,2005-07-01 01:00:00,242.17992839506172
X1,chp,electricity,2005-07-01 02:00:00,243.4469333333333
X1,chp,electricity,2005-07-01 03:00:00,243.44866419753086
X1,chp,electricity,2005-07-01 04:00:00,256.80446913580244
X1,chp,electricity,2005-07-01 05:00:00,445.86765432098764
X1,chp,electricity,2005-07-01 06:00:00,546.3643456790123
X1,chp,electricity,2005-07-01 07:00:00,644.3128395061728
X1,chp,electricity,2005-07-01 08:00:00,644.3128395061728
X1,chp,electricity,2005-07-01 09:00:00,644.3128395061728
X1,chp,electricity,2005-07-01 10:00:00,542.3488395061728
X1,chp,electricity,2005-07-01 11:00:00,540.192049382716
X1,chp,electricity,2005-07-01 12:00:00,517.7623703703704
X1,chp,electricity,2005-07-01 13:00:00,457.2415061728395
X1,chp,electricity,2005-07-01 14:00:00,486.5218271604938
X1,chp,electricity,2005-07-01 15:00:00,565.0453827160493
X1,chp,electricity,2005-07-01 16:00:00,484.4418518518518
X1,chp,electricity,2005-07-01 17:00:00,644.3128395061728
X1,chp,electricity,2005-07-01 18:00:00,644.3128395061728
X1,chp,electricity,2005-07-01 19:00:00,644.3128395061728
X1,chp,electricity,2005-07-01 20:00:00,644.3128395061728
X1,chp,electricity,2005-07-01 21:00:00,567.6235061728395
X1,chp,electricity,2005-07-01 22:00:00,390.0357037037037
X1,chp,electricity,2005-07-01 23:00:00,287.3524691358025
X1,chp,electricity,2005-07-02 00:00:00,306.8578271604938
X1,chp,electricity,2005-07-02 01:00:00,264.6999259259259
X1,chp,electricity,2005-07-02 02:00:00,260.77538271604936
X1,chp,electricity,2005-07-02 03:00:00,266.6176049382716
X1,chp,electricity,2005-07-02 04:00:00,277.3776296296296
X1,chp,electricity,2005-07-02 05:00:00,414.8593086419753
X1,chp,electricity,2005-07-02 06:00:00,529.1956790123456
X1,chp,electricity,2005-07-02 07:00:00,614.2351851851852
X1,chp,electricity,2005-07-02 08:00:00,590.4415555555555
X1,chp,electricity,2005-07-02 09:00:00,565.9015802469136
X1,chp,electricity,2005-07-02 10:00:00,531.6868148148147
X1,chp,electricity,2005-07-02 11:00:00,433.87846913580245
X1,chp,electricity,2005-07-02 12:00:00,394.61256790123457
X1,chp,electricity,2005-07-02 13:00:00,393.2435308641975
X1,chp,electricity,2005-07-02 14:00:00,454.32358024691354
X1,chp,electricity,2005-07-02 15:00:00,537.429037037037
X1,chp,electricity,2005-07-02 16:00:00,479.2377283950617
X1,chp,electricity,2005-07-02 17:00:00,644.3128395061728
X1,chp,electricity,2005-07-02 18:00:00,644.3128395061728
X1,chp,electricity,2005-07-02 19:00:00,644.3128395061728
X1,chp,electricity,2005-07-02 20:00:00,644.3128395061728
X1,chp,electricity,2005-07-02 21:00:00,544.523086419753
